"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"1","Albania","Serbia",284,30,"ALB","SRB","Coffee, not roasted, not decaffeinated",2010
"2","Albania","Serbia",49714,14646,"ALB","SRB","Coffee, not roasted, decaffeinated",2010
"3","Algeria","France",375,100,"DZA","FRA","Coffee, not roasted, not decaffeinated",2005
"4","Algeria","Côte d'Ivoire",1254,480,"DZA","CIV","Coffee, not roasted, not decaffeinated",2005
"5","Andorra","Spain",31950,24000,"AND","ESP","Coffee, not roasted, not decaffeinated",2005
"6","Angola","Lebanon",57600,36600000,"AGO","LBN","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"7","Angola","Morocco",34200,18300000,"AGO","MAR","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"8","Angola","Portugal",616870,320535008,"AGO","PRT","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"9","Angola","Spain",391788,21180000,"AGO","ESP","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"10","Angola","Portugal",310725,160735008,"AGO","PRT","Coffee, not roasted, not decaffeinated",2010
"11","Angola","Spain",258900,143350000,"AGO","ESP","Coffee, not roasted, not decaffeinated",2010
"12","Antigua and Barbuda","Saint Lucia",1096,10,"ATG","LCA","Coffee, not roasted, not decaffeinated",2015
"13","Antigua and Barbuda","Saint Vincent and the Grenadines",2394,49,"ATG","VCT","Coffee, not roasted, not decaffeinated",2015
"14","Antigua and Barbuda","Saint Lucia",1739,16,"ATG","LCA","Coffee, not roasted, decaffeinated",2015
"15","Antigua and Barbuda","Saint Vincent and the Grenadines",612,16,"ATG","VCT","Coffee, not roasted, decaffeinated",2015
"16","Antigua and Barbuda","Barbados",120,328,"ATG","BRB","Coffee, not roasted, not decaffeinated",2005
"17","Argentina","Uruguay",2433,350,"ARG","URY","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"18","Argentina","Uruguay",2958,350,"ARG","URY","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Decaffeinated",2015
