country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Ukraine,0.2713392738396063,0.07281553398058252,0.009708737864077669,0.00032159185855331615,31.25277777777778,1492.0,12330905.0
Bahamas,0.0,0.019417475728155338,0.0,0.0,,,232528.0
Special Categories,0.0,0.009708737864077669,0.0,0.0,,,138728.0
Estonia,0.25791363268608414,0.1116504854368932,0.009708737864077669,0.00011189704210068881,1.902999007354984,13966294.0,12074257.0
Papua New Guinea,0.0,0.014563106796116504,0.0,0.0,,,211662.0
Liberia,0.0,0.009708737864077669,0.0,0.0,,,30260.0
Sweden,0.0,0.038834951456310676,0.0,0.0,4.3463189431465095,4614268.0,312245935.0
New Caledonia,0.0,0.0048543689320388345,0.0,0.0,26.24081487269699,16057.0,122597.0
Azerbaijan,0.3688597204895952,0.08737864077669902,0.019417475728155338,0.0044090360759153485,,,2251.0
Jordan,0.38165254316553493,0.009708737864077669,0.04368932038834951,3.3736091799146915e-05,9.213181971310659,2616780.0,38648932.0
Kyrgyzstan,0.0,0.02427184466019417,0.0,0.0,16.307679673808707,2361.0,17219.0
Guyana,0.2569100776950877,0.038834951456310676,0.009708737864077669,4.93597622415998e-05,2.168831168831169,38.0,109.0
Russian Federation,0.34568528778867824,0.17475728155339804,0.0048543689320388345,0.00941029808925832,2.538963921121045,80084.0,172092552.0
Singapore,0.4522321230660105,0.14563106796116504,0.13592233009708737,0.014247463249343036,6.076487319808547,25313835.0,51752320.0
Albania,0.2596037613406456,0.05339805825242718,0.0048543689320388345,4.8412134606782965e-05,3.4067865903515946,49998.0,4750242.0
Armenia,0.44412033610518525,0.04854368932038834,0.1116504854368932,0.006084619551230325,2.7470412919563767,333257.0,3226799.0
Mauritius,0.0,0.009708737864077669,0.0,0.0,10.926237251744498,4527.0,758851.0
Chad,0.4627982941656837,0.15048543689320387,0.10679611650485436,0.006263753163222323,,,24348.0
China,0.5367958533954271,0.019417475728155338,0.25728155339805825,0.0009598747497932403,3.0118802562488227,95257754.0,56068443.0
Colombia,0.0,0.009708737864077669,0.0,0.0,4.525322660333575,1889558043.0,68735431.0
Iraq,0.31193333842978366,0.04368932038834951,0.009708737864077669,0.002740329532598062,,,109924.0
Chile,0.0,0.014563106796116504,0.0,0.0,11.125,137.0,28537011.0
Rep. of Moldova,0.4324839954212066,0.019417475728155338,0.08252427184466019,0.004827901368279653,,,61647.0
Madagascar,0.26480971912154094,0.0048543689320388345,0.014563106796116504,8.884803510870846e-05,3.04415042688119,11147784.0,11139.0
Andorra,0.0,0.009708737864077669,0.0,0.0,,,815564.0
Grenada,0.0,0.0048543689320388345,0.0,0.0,,,5210.0
Malawi,0.39774632510625024,0.0048543689320388345,0.038834951456310676,3.6876094624215585e-05,4.56106510848822,3525058.0,15434.0
Turks and Caicos Isds,0.0,0.014563106796116504,0.0,0.0,,,14324.0
Suriname,0.0,0.019417475728155338,0.0,0.0,15.1,604.0,
Saint Vincent and the Grenadines,0.5877675664774856,0.038834951456310676,0.37864077669902907,0.01626535853178208,,,3858.0
Brazil,0.0,0.019417475728155338,0.0,0.0,2.98875719312889,5182023571.0,114986.0
Guam,0.0,0.03398058252427184,0.0,0.0,,,57084.0
Neth. Antilles,0.3518253461863457,0.0048543689320388345,0.014563106796116504,8.51346932332014e-05,,,86120.0
Saint Lucia,0.31896565201757265,0.24271844660194172,0.014563106796116504,0.0006728138454234186,7.799259259259259,940.0,5467.0
Japan,0.5040144272338744,0.014563106796116504,0.1699029126213592,0.0002580316812555726,20.994877833139157,113057.0,1296454907.0
United Rep. of Tanzania,0.0,0.04854368932038834,0.0,0.0,2.7577489880084824,102293659.0,15887.0
Belarus,0.26062851303014817,0.07766990291262135,0.014563106796116504,0.00025178607359608186,,,798189.0
Latvia,0.41094952262015066,0.03398058252427184,0.058252427184466014,0.0009139535049571741,9.409935706867833,302362.0,16322193.0
Ecuador,0.0,0.009708737864077669,0.0,0.0,4.03287115106928,55911238.0,55122633.0
Aruba,0.0,0.014563106796116504,0.0,0.0,,,40632.0
Malta,0.0048543689320388345,0.029126213592233007,0.0048543689320388345,0.00011233749952739795,11.169285714285714,78185.0,265583.0
Kazakhstan,0.0,0.03398058252427184,0.0,0.0,,,105133.0
"China, Macao SAR",0.40589686455514884,0.15048543689320387,0.04368932038834951,0.0012538357522708554,,,650244.0
Iran,0.2943204604798107,0.038834951456310676,0.0048543689320388345,7.375683010511888e-05,4.8,96.0,9403282.0
EU-28,0.658043705132665,0.0,0.5339805825242718,0.0,9.576986125250551,430983033.0,
Antigua and Barbuda,0.0,0.029126213592233007,0.0,0.0,,,72169.0
Haiti,0.0,0.009708737864077669,0.0,0.0,,,20743.0
Indonesia,0.5532895807343928,0.08737864077669902,0.30097087378640774,0.015097745017731212,2.1337566377440953,812533013.0,26331754.0
Saint Pierre and Miquelon,0.0,0.009708737864077669,0.0,0.0,,,15473.0
Peru,0.5226323744140174,0.029126213592233007,0.24757281553398056,0.0047868432452340525,5.983540922314817,887923893.0,372241.0
Cyprus,0.3530796254953879,0.058252427184466014,0.014563106796116504,0.0009068983434236663,7.792366913510997,58023.0,6110132.0
USA,0.5282071197411002,0.31553398058252424,0.2524271844660194,0.08015500775660478,5.269543573298154,130338555.0,4162680510.0
Nicaragua,0.5027352027992706,0.014563106796116504,0.1844660194174757,0.00034822190990791514,3.206031423594842,341505037.0,2901326.0
Guinea-Bissau,0.0,0.014563106796116504,0.0,0.0,,,51481.0
Barbados,0.0,0.038834951456310676,0.0,0.0,,,80327.0
Nigeria,0.0,0.03398058252427184,0.0,0.0,,,38239.0
Qatar,0.0,0.038834951456310676,0.0,0.0,,,1430874.0
"Other Africa, nes",0.0,0.014563106796116504,0.0,0.0,,,438893.0
Canada,0.0,0.0048543689320388345,0.0,0.0,4.436533318818257,45716410.0,509573919.0
Belize,0.41788537954200977,0.19417475728155337,0.07281553398058252,0.026521065237613117,3.5587188612099645,2000.0,5135.0
Malaysia,0.3524513699340082,0.0048543689320388345,0.009708737864077669,4.34130554897782e-05,3.150022224306757,2680171.0,88977993.0
Norway,0.4170056208482371,0.09708737864077668,0.07281553398058252,0.002724574729963122,5.357650329739921,1907331.0,142181709.0
Faeroe Isds,0.3809185959671397,0.15048543689320387,0.03398058252427184,0.0004976041165882882,,,152165.0
