country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Ukraine,0.2766037461180124,0.006211180124223602,0.024844720496894408,0.0019409937888198758,53.63071304361116,2030404.0,3619017.0
Bahamas,0.0,0.012422360248447204,0.0,0.0,,,91495.0
France,0.27287305975418563,0.08695652173913043,0.049689440993788817,0.00967183221095856,0.4510494358160721,1530245867.0,10613786014.0
Burkina Faso,0.008281573498964802,0.012422360248447204,0.006211180124223602,0.0009057971014492755,0.5612,2806.0,13408962.0
Bulgaria,0.0,0.006211180124223602,0.0,0.0,,,74552.0
Venezuela,0.0,0.006211180124223602,0.0,0.0,,,178924959.0
Palau,0.0,0.006211180124223602,0.0,0.0,,,63.0
Lesotho,0.0,0.006211180124223602,0.0,0.0,,,6991260.0
Chad,0.0,0.03105590062111801,0.0,0.0,,,2874944.0
Argentina,0.0,0.006211180124223602,0.0,0.0,110.44936185496873,215825356.0,566820071.0
Special Categories,0.0,0.012422360248447204,0.0,0.0,,,5604119916.0
Congo,0.0,0.006211180124223602,0.0,0.0,,,1273551.0
Lao People's Dem. Rep.,0.0,0.006211180124223602,0.0,0.0,,,94.0
Hungary,0.0,0.006211180124223602,0.0,0.0,,,1000.0
"China, Macao SAR",0.0,0.012422360248447204,0.0,0.0,,,49377297.0
Rwanda,0.2197597329097429,0.0,0.018633540372670808,0.0,,,643153.0
Azerbaijan,0.0,0.006211180124223602,0.0,0.0,0.22541918298462482,288545370.0,
Antarctica,0.0,0.012422360248447204,0.0,0.0,,,1168.0
Jordan,0.3246676597060229,0.0,0.018633540372670808,0.0,,,235426186.0
Côte d'Ivoire,0.006211180124223602,0.012422360248447204,0.006211180124223602,0.0001940993788819876,12.302548718874052,4057.0,
Seychelles,0.0,0.006211180124223602,0.0,0.0,182.0,364.0,86.0
Kyrgyzstan,0.028393966282165038,0.012422360248447204,0.012422360248447204,0.0006135048412957864,,,6799894.0
Andorra,0.27078607650558767,0.024844720496894408,0.049689440993788817,0.008234960239036323,,,20413.0
Kenya,0.0,0.043478260869565216,0.0,0.0,0.6264155540720961,21740.0,57120429.0
Russian Federation,0.006211180124223602,0.0,0.006211180124223602,0.0,0.3157020041234542,51078379172.0,338197708.0
Singapore,0.0,0.018633540372670808,0.0,0.0,,,3887881937.0
Burundi,0.0,0.006211180124223602,0.0,0.0,,,128679.0
Uzbekistan,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.0019798136645962734,,,639.0
Gambia,0.0,0.006211180124223602,0.0,0.0,1155.2,23104.0,
Tunisia,0.2098090637221072,0.006211180124223602,0.006211180124223602,0.0,,,292145751.0
Mauritius,0.0,0.012422360248447204,0.0,0.0,5.714285714285714,80.0,15042.0
Dem. Rep. of the Congo,0.0,0.037267080745341616,0.0,0.0,,,89258.0
Viet Nam,0.012422360248447204,0.006211180124223602,0.012422360248447204,0.0020273680124223603,0.9122202127659574,857487.0,21962345.0
Fmr Sudan,0.0,0.006211180124223602,0.0,0.0,,,3513.0
Poland,0.0,0.006211180124223602,0.0,0.0,,,21976810.0
Colombia,0.0,0.012422360248447204,0.0,0.0,4.616501886986265,179869578.0,2798125.0
Iraq,0.0,0.03105590062111801,0.0,0.0,,,3515.0
Montenegro,0.1841627022268171,0.006211180124223602,0.006211180124223602,9.510869565217393e-05,,,2633.0
Latvia,0.0,0.006211180124223602,0.0,0.0,,,1596637.0
Chile,0.0,0.018633540372670808,0.0,0.0,,,414404912.0
Nicaragua,0.0,0.05590062111801242,0.0,0.0,,,16968.0
Rep. of Moldova,0.0,0.006211180124223602,0.0,0.0,,,1552518.0
Swaziland,0.02647924158221641,0.006211180124223602,0.006211180124223602,0.0,,,2029407.0
"China, Hong Kong SAR",0.0,0.006211180124223602,0.0,0.0,,,767798706.0
"Areas, nes",0.0,0.006211180124223602,0.0,0.0,,,57240047205.0
FS Micronesia,0.0,0.043478260869565216,0.0,0.0,,,10559.0
Niger,0.22916038513336953,0.018633540372670808,0.024844720496894408,0.0006961697722567288,,,9436265.0
Dem. People's Rep. of Korea,0.0,0.006211180124223602,0.0,0.0,,,59974580.0
Malawi,0.0,0.012422360248447204,0.0,0.0,1.067251461988304,730.0,13.0
Denmark,0.303257212018035,0.018633540372670808,0.018633540372670808,0.0077307009760425914,,,599213610.0
Brazil,0.0,0.006211180124223602,0.0,0.0,,,2474688679.0
Botswana,0.0,0.006211180124223602,0.0,0.0,5.016926532821274,55880.0,313908272.0
Pakistan,0.2682218144174666,0.09316770186335403,0.037267080745341616,0.02014623693680371,86.28571428571429,604.0,10053962.0
"LAIA, nes",0.3479634349199567,0.09937888198757763,0.08695652173913043,0.06765933934509247,,,141721886.0
Barbados,0.0,0.012422360248447204,0.0,0.0,,,33502.0
Zimbabwe,0.0,0.006211180124223602,0.0,0.0,,,159403.0
Liberia,0.37493367458410065,0.0,0.10559006211180123,0.0,,,6992.0
Anguilla,0.006211180124223602,0.0,0.006211180124223602,0.0,,,4638.0
Nepal,0.2031866829446519,0.012422360248447204,0.006211180124223602,0.0018633540372670807,,,15147430.0
Japan,0.008281573498964802,0.018633540372670808,0.006211180124223602,0.0010351966873706005,0.5261820384700773,302944.0,29790583828.0
China,0.30132152768600506,0.018633540372670808,0.10559006211180123,0.023282572435328656,1.139495288431698,817183425.0,2310735517.0
