country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Ukraine,0.0,0.012903225806451613,0.0,0.0,,,39180.0
Bahamas,0.0,0.0064516129032258064,0.0,0.0,,,30935.0
France,0.283248730964467,0.05806451612903226,0.24516129032258063,0.022863426895684956,3.6297637487964955,44892258.0,13946357.0
Estonia,0.0064516129032258064,0.025806451612903226,0.0064516129032258064,6.284038542103058e-05,2.02916522341531,29291.0,80000.0
Bulgaria,0.012903225806451613,0.012903225806451613,0.012903225806451613,0.0010194106968300517,0.608511980108499,14803.0,7309.0
Venezuela,0.0,0.012903225806451613,0.0,0.0,,,138892.0
Iran,0.0,0.01935483870967742,0.0,0.0,,,61475978.0
Paraguay,0.0,0.01935483870967742,0.0,0.0,,,2150.0
Hungary,0.0,0.03870967741935484,0.0,0.0,,,73982.0
Sweden,0.0,0.01935483870967742,0.0,0.0,,,872018.0
Morocco,0.0,0.01935483870967742,0.0,0.0,,,104997364.0
Rwanda,0.0,0.0064516129032258064,0.0,0.0,,,1227747.0
Azerbaijan,0.0,0.012903225806451613,0.0,0.0,,,13756.0
Honduras,0.0,0.0064516129032258064,0.0,0.0,,,16579.0
Jordan,0.0,0.01935483870967742,0.0,0.0,,,1416521.0
Côte d'Ivoire,0.19862875126447116,0.0,0.01935483870967742,0.0,0.4884455555555556,4030875.0,
Gabon,0.0,0.012903225806451613,0.0,0.0,1.0353486633015516,138452.0,2486.0
Kenya,0.0,0.012903225806451613,0.0,0.0,,,2698372.0
Colombia,0.0,0.012903225806451613,0.0,0.0,,,491569.0
Mayotte,0.0,0.07096774193548387,0.0,0.0,,,21478.0
Russian Federation,0.0,0.03225806451612903,0.0,0.0,,,876667900.0
Singapore,0.0,0.0064516129032258064,0.0,0.0,,,262898.0
Burundi,0.0,0.012903225806451613,0.0,0.0,0.44355021676300577,1227747.0,
"Other Europe, nes",0.0,0.0064516129032258064,0.0,0.0,,,1155.0
Gibraltar,0.0,0.012903225806451613,0.0,0.0,,,1254.0
Tunisia,0.0,0.0064516129032258064,0.0,0.0,,,27404367.0
Aruba,0.0,0.0064516129032258064,0.0,0.0,,,4384.0
Afghanistan,0.012903225806451613,0.012903225806451613,0.012903225806451613,0.00022343248149699765,,,17146.0
Dem. Rep. of the Congo,0.0,0.025806451612903226,0.0,0.0,,,2754216.0
Viet Nam,0.0,0.0064516129032258064,0.0,0.0,,,130.0
Fmr Sudan,0.0,0.0064516129032258064,0.0,0.0,0.4421282133727518,22691932.0,17424317.0
Poland,0.0,0.012903225806451613,0.0,0.0,,,207613.0
