"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"1","Andorra","Spain",5283,53000,"AND","ESP","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"2","Argentina","Belgium",871360,1532000,"ARG","BEL","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"3","Argentina","Bolivia (Plurinational State of)",9800,7000,"ARG","BOL","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"4","Argentina","Canada",852693,1283300,"ARG","CAN","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"5","Argentina","Chile",30678,24361,"ARG","CHL","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"6","Argentina","China",118080,170000,"ARG","CHN","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"7","Argentina","Denmark",708372,1060000,"ARG","DNK","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"8","Argentina","Dominican Rep.",17760,25000,"ARG","DOM","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"9","Argentina","France",400343,573150,"ARG","FRA","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"10","Argentina","Germany",1539771,2500000,"ARG","DEU","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"11","Argentina","Italy",409240,647000,"ARG","ITA","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"12","Argentina","Japan",59800,1e+05,"ARG","JPN","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"13","Argentina","Rep. of Korea",13020,17500,"ARG","KOR","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"14","Argentina","Madagascar",25200,40000,"ARG","MDG","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"15","Argentina","Netherlands",1307640,2080000,"ARG","NLD","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"16","Argentina","Neth. Antilles",2160800,2920000,"ARG","ANT","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"17","Argentina","New Zealand",80129,108000,"ARG","NZL","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"18","Argentina","Philippines",29400,50000,"ARG","PHL","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"19","Argentina","Russian Federation",16279376,44155730,"ARG","RUS","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"20","Argentina","India",3235040,9051040,"ARG","IND","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"21","Argentina","Singapore",58212,99000,"ARG","SGP","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"22","Argentina","Spain",194520,3e+05,"ARG","ESP","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"23","Argentina","Sweden",84752,140000,"ARG","SWE","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"24","Argentina","Switzerland",30152,49625,"ARG","CHE","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"25","Argentina","Ukraine",7080170,15000360,"ARG","UKR","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"26","Argentina","United Kingdom",692500,1095000,"ARG","GBR","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"27","Argentina","USA",44351118,84751446,"ARG","USA","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"28","Argentina","Australia",6800,20000,"ARG","AUS","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"29","Argentina","Belgium",186885,528110,"ARG","BEL","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"30","Argentina","Brazil",103,50,"ARG","BRA","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"31","Argentina","Canada",164748,486000,"ARG","CAN","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"32","Argentina","Chile",5767,8242,"ARG","CHL","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"33","Argentina","China",29400,84000,"ARG","CHN","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"34","Argentina","Ecuador",9,1,"ARG","ECU","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"35","Argentina","Estonia",920,576,"ARG","EST","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"36","Argentina","France",139590,329540,"ARG","FRA","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"37","Argentina","Germany",695362,1991320,"ARG","DEU","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"38","Argentina","Italy",112824,298000,"ARG","ITA","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"39","Argentina","Japan",55490,160000,"ARG","JPN","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"40","Argentina","Rep. of Korea",29190,80001,"ARG","KOR","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"41","Argentina","Lithuania",3419182,17700000,"ARG","LTU","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"42","Argentina","Netherlands",815504,2393879,"ARG","NLD","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"43","Argentina","New Zealand",8500,25000,"ARG","NZL","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"44","Argentina","Philippines",7930,26000,"ARG","PHL","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"45","Argentina","Russian Federation",31934378,157609500,"ARG","RUS","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"46","Argentina","Syria",2831914,14200140,"ARG","SYR","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"47","Argentina","Egypt",7071033,36193060,"ARG","EGY","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"48","Argentina","United Kingdom",98400,240000,"ARG","GBR","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"49","Argentina","USA",18218437,52784533,"ARG","USA","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"50","Argentina","Uruguay",2004,2160,"ARG","URY","Cane sugar, raw, in solid form, not cont. added flavouring/colouring matter ...",2005
"51","Australia","Bahrain",58,266,"AUS","BHR","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
