country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Armenia,0.37165728360309647,0.014778325123152709,0.04926108374384237,0.0035688269290774337,1.3952780553551394,3361259.0,368163.0
Libya,0.0,0.04433497536945813,0.0,0.0,,,2465305.0
Mexico,0.49293492351568585,0.06896551724137931,0.18719211822660098,0.005199667972469121,2.6378154550700934,215728658.0,32799578.0
Estonia,0.29313813917990705,0.0049261083743842365,0.0049261083743842365,9.935336899683584e-05,4.684633660976195,1776797.0,17697.0
Poland,0.3846309464804119,0.12807881773399016,0.06896551724137931,0.006476165225296596,3.3696359717176825,1792905.0,77203060.0
Eritrea,0.0,0.009852216748768473,0.0,0.0,,,145532.0
Bangladesh,0.4890738144542052,0.13793103448275862,0.20689655172413793,0.04632833997075662,,,94445.0
South Africa,0.5429428143071321,0.054187192118226604,0.33004926108374383,0.01549037319851902,9.646630639335168,1775061.0,22010496.0
Samoa,0.3449636665487304,0.009852216748768473,0.04433497536945813,0.0002734324236521824,,,10820.0
Guinea,0.0,0.014778325123152709,0.0,0.0,0.3274432796628197,4573936.0,24625.0
Equatorial Guinea,0.32633322462710906,0.04433497536945813,0.009852216748768473,0.0013611688401079357,,,3126.0
Senegal,0.4790671890945284,0.034482758620689655,0.17733990147783252,0.005389455114329795,2.38218085106383,520.0,51879.0
Costa Rica,0.4276604359268507,0.029556650246305417,0.09852216748768473,0.004273833513161768,2.4775540364068878,262259745.0,1082071.0
Côte d'Ivoire,0.4134994943398689,0.024630541871921183,0.08866995073891626,0.00288480430435377,0.8017908853734836,69311108.0,170680.0
Jamaica,0.0,0.059113300492610835,0.0,0.0,1.8823216583989388,15794276.0,490822.0
Syria,0.29638492236702624,0.029556650246305417,0.009852216748768473,0.00021110168015133152,,,28701196.0
Croatia,0.23068383120192193,0.014778325123152709,0.0049261083743842365,1.021256608674232e-05,9.410108817805552,36788.0,8610605.0
