country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Albania:ALB,0.0,0.01818181818181818,0.0,0.0,,,112200
United Kingdom:GBR,0.0,0.01818181818181818,0.0,0.0,,,40164897
China:CHN,0.0,0.01818181818181818,0.0,0.0,,,4853218
Australia:AUS,0.0,0.01818181818181818,0.0,0.0,,,22004089
Kuwait:KWT,0.0,0.01818181818181818,0.0,0.0,,,336227
Jordan:JOR,0.0,0.01818181818181818,0.0,0.0,,,13020814
Denmark:DNK,0.5045871559633027,0.01818181818181818,0.01818181818181818,0.0,,,685017
Germany:DEU,0.0,0.01818181818181818,0.0,0.0,24.0,24.0,222358432
Belgium:BEL,0.0,0.01818181818181818,0.0,0.0,,,66396229
State of Palestine:PSE,0.0,0.01818181818181818,0.0,0.0,,,73096
Norway:NOR,0.5045871559633027,0.01818181818181818,0.01818181818181818,0.0,,,1658440
Finland:FIN,0.0,0.01818181818181818,0.0,0.0,,,4828534
Sudan:SDN,0.5045871559633027,0.01818181818181818,0.01818181818181818,0.0,0.8264438461538461,1074377.0,31846512
Mexico:MEX,0.0,0.01818181818181818,0.0,0.0,,,1495320
Netherlands:NLD,0.0,0.01818181818181818,0.0,0.0,0.375,3.0,8167763
Singapore:SGP,0.0,0.01818181818181818,0.0,0.0,,,504037
Poland:POL,0.0,0.01818181818181818,0.0,0.0,,,1338562
New Zealand:NZL,0.0,0.01818181818181818,0.0,0.0,,,4424545
Slovenia:SVN,0.0,0.01818181818181818,0.0,0.0,,,825305
Ethiopia:ETH,1.0,0.07272727272727272,1.0,0.07272727272727274,4.876096083461651,1011087924.0,1076526
Russian Federation:RUS,0.0,0.01818181818181818,0.0,0.0,,,9015724
Greece:GRC,0.0,0.01818181818181818,0.0,0.0,,,6250873
Nigeria:NGA,0.0,0.01818181818181818,0.0,0.0,,,2380
Japan:JPN,0.0,0.01818181818181818,0.0,0.0,,,77922922
Ukraine:UKR,0.0,0.01818181818181818,0.0,0.0,,,460972
Qatar:QAT,0.0,0.01818181818181818,0.0,0.0,,,78123
USA:USA,0.0,0.01818181818181818,0.0,0.0,,,150647293
Armenia:ARM,0.0,0.01818181818181818,0.0,0.0,,,55756
Yemen:YEM,0.0,0.01818181818181818,0.0,0.0,,,525895
"China, Hong Kong SAR:HKG",0.0,0.01818181818181818,0.0,0.0,,,551829
Djibouti:DJI,0.0,0.01818181818181818,0.0,0.0,,,47024
Canada:CAN,0.0,0.01818181818181818,0.0,0.0,,,6808783
United Arab Emirates:ARE,0.0,0.01818181818181818,0.0,0.0,,,2724227
Sweden:SWE,0.0,0.01818181818181818,0.0,0.0,,,19928238
Turkey:TUR,0.0,0.01818181818181818,0.0,0.0,,,441183
Algeria:DZA,0.0,0.01818181818181818,0.0,0.0,,,100542
Malaysia:MYS,0.0,0.01818181818181818,0.0,0.0,,,81854
Austria:AUT,0.0,0.01818181818181818,0.0,0.0,,,1304
Iran:IRN,0.0,0.01818181818181818,0.0,0.0,,,47559
Egypt:EGY,0.0,0.01818181818181818,0.0,0.0,,,1616365
Viet Nam:VNM,0.0,0.01818181818181818,0.0,0.0,,,1308430
Ireland:IRL,0.0,0.01818181818181818,0.0,0.0,,,510586
Kenya:KEN,0.0,0.01818181818181818,0.0,0.0,,,85325
Saudi Arabia:SAU,0.0,0.01818181818181818,0.0,0.0,,,157752046
Slovakia:SVK,0.0,0.01818181818181818,0.0,0.0,,,4769
Switzerland:CHE,0.0,0.01818181818181818,0.0,0.0,,,857616
Spain:ESP,0.0,0.01818181818181818,0.0,0.0,,,24888458
Bulgaria:BGR,0.0,0.01818181818181818,0.0,0.0,,,287051
France:FRA,0.0,0.01818181818181818,0.0,0.0,,,36912664
Lebanon:LBN,0.0,0.01818181818181818,0.0,0.0,,,228906
Rep. of Korea:KOR,0.0,0.01818181818181818,0.0,0.0,,,35363751
Dem. People's Rep. of Korea:PRK,0.0,0.01818181818181818,0.0,0.0,,,513652
Italy:ITA,0.0,0.01818181818181818,0.0,0.0,,,40606446
Israel:ISR,0.0,0.01818181818181818,0.0,0.0,,,3399313
South Africa:ZAF,0.5045871559633027,0.01818181818181818,0.01818181818181818,0.0,26.525,2122.0,4821899
Portugal:PRT,0.0,0.01818181818181818,0.0,0.0,,,1144929
