"","X.1","X","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"1",1832,1832,"Ethiopia:ETH","Albania:ALB",112200,19200,"ETH","ALB","Coffee",2015
"2",1833,1833,"Ethiopia:ETH","Algeria:DZA",100542,19200,"ETH","DZA","Coffee",2015
"3",1834,1834,"Ethiopia:ETH","Australia:AUS",22004089,4156980,"ETH","AUS","Coffee",2015
"4",1835,1835,"Ethiopia:ETH","Austria:AUT",59,10,"ETH","AUT","Coffee",2015
"5",1836,1836,"Ethiopia:ETH","Armenia:ARM",55756,19200,"ETH","ARM","Coffee",2015
"6",1837,1837,"Ethiopia:ETH","Belgium:BEL",66396229,13464520,"ETH","BEL","Coffee",2015
"7",1838,1838,"Ethiopia:ETH","Bulgaria:BGR",287051,76800,"ETH","BGR","Coffee",2015
"8",1839,1839,"Ethiopia:ETH","Canada:CAN",6808774,1240620,"ETH","CAN","Coffee",2015
"9",1840,1840,"Ethiopia:ETH","China:CHN",4853218,857120,"ETH","CHN","Coffee",2015
"10",1841,1841,"Ethiopia:ETH","Denmark:DNK",685017,121200,"ETH","DNK","Coffee",2015
"11",1842,1842,"Ethiopia:ETH","Finland:FIN",4827711,846610,"ETH","FIN","Coffee",2015
"12",1843,1843,"Ethiopia:ETH","France:FRA",36912664,10225200,"ETH","FRA","Coffee",2015
"13",1844,1844,"Ethiopia:ETH","Djibouti:DJI",47024,8040,"ETH","DJI","Coffee",2015
"14",1845,1845,"Ethiopia:ETH","State of Palestine:PSE",73096,19200,"ETH","PSE","Coffee",2015
"15",1846,1846,"Ethiopia:ETH","Germany:DEU",221338997,55468260,"ETH","DEU","Coffee",2015
"16",1847,1847,"Ethiopia:ETH","Greece:GRC",6250873,1828350,"ETH","GRC","Coffee",2015
"17",1848,1848,"Ethiopia:ETH","China, Hong Kong SAR:HKG",551829,115350,"ETH","HKG","Coffee",2015
"18",1849,1849,"Ethiopia:ETH","Iran:IRN",47559,16000,"ETH","IRN","Coffee",2015
"19",1850,1850,"Ethiopia:ETH","Ireland:IRL",510586,96000,"ETH","IRL","Coffee",2015
"20",1851,1851,"Ethiopia:ETH","Israel:ISR",3399313,1033200,"ETH","ISR","Coffee",2015
"21",1852,1852,"Ethiopia:ETH","Italy:ITA",40606446,8341315,"ETH","ITA","Coffee",2015
"22",1853,1853,"Ethiopia:ETH","Japan:JPN",77922922,20291560,"ETH","JPN","Coffee",2015
"23",1854,1854,"Ethiopia:ETH","Jordan:JOR",13020814,2862000,"ETH","JOR","Coffee",2015
"24",1855,1855,"Ethiopia:ETH","Kenya:KEN",85325,12000,"ETH","KEN","Coffee",2015
"25",1856,1856,"Ethiopia:ETH","Dem. People's Rep. of Korea:PRK",513652,88320,"ETH","PRK","Coffee",2015
"26",1857,1857,"Ethiopia:ETH","Rep. of Korea:KOR",35363751,6882540,"ETH","KOR","Coffee",2015
"27",1858,1858,"Ethiopia:ETH","Kuwait:KWT",336227,105600,"ETH","KWT","Coffee",2015
"28",1859,1859,"Ethiopia:ETH","Lebanon:LBN",228906,62520,"ETH","LBN","Coffee",2015
"29",1860,1860,"Ethiopia:ETH","Malaysia:MYS",81854,19200,"ETH","MYS","Coffee",2015
"30",1861,1861,"Ethiopia:ETH","Mexico:MEX",1495320,276600,"ETH","MEX","Coffee",2015
"31",1862,1862,"Ethiopia:ETH","Other Asia, nes:",7060988,1405140,"ETH","","Coffee",2015
"32",1863,1863,"Ethiopia:ETH","Netherlands:NLD",8158605,1093290,"ETH","NLD","Coffee",2015
"33",1864,1864,"Ethiopia:ETH","New Zealand:NZL",4424545,579700,"ETH","NZL","Coffee",2015
"34",1865,1865,"Ethiopia:ETH","Nigeria:NGA",1563,180,"ETH","NGA","Coffee",2015
"35",1866,1866,"Ethiopia:ETH","Norway:NOR",1658440,271260,"ETH","NOR","Coffee",2015
"36",1867,1867,"Ethiopia:ETH","Poland:POL",1338562,437820,"ETH","POL","Coffee",2015
"37",1868,1868,"Ethiopia:ETH","Portugal:PRT",1144929,211200,"ETH","PRT","Coffee",2015
"38",1869,1869,"Ethiopia:ETH","Qatar:QAT",78123,18000,"ETH","QAT","Coffee",2015
"39",1870,1870,"Ethiopia:ETH","Russian Federation:RUS",9014731,2725200,"ETH","RUS","Coffee",2015
"40",1871,1871,"Ethiopia:ETH","Saudi Arabia:SAU",157752046,44358222,"ETH","SAU","Coffee",2015
"41",1872,1872,"Ethiopia:ETH","Singapore:SGP",504037,110400,"ETH","SGP","Coffee",2015
"42",1873,1873,"Ethiopia:ETH","Slovakia:SVK",4769,500,"ETH","SVK","Coffee",2015
"43",1874,1874,"Ethiopia:ETH","Viet Nam:VNM",1308430,285600,"ETH","VNM","Coffee",2015
"44",1875,1875,"Ethiopia:ETH","Slovenia:SVN",825305,152400,"ETH","SVN","Coffee",2015
"45",1876,1876,"Ethiopia:ETH","South Africa:ZAF",4821899,841280,"ETH","ZAF","Coffee",2015
"46",1877,1877,"Ethiopia:ETH","Spain:ESP",24888458,4288360,"ETH","ESP","Coffee",2015
"47",1878,1878,"Ethiopia:ETH","Sudan:SDN",31846512,11079400,"ETH","SDN","Coffee",2015
"48",1879,1879,"Ethiopia:ETH","Sweden:SWE",19924405,4228380,"ETH","SWE","Coffee",2015
"49",1880,1880,"Ethiopia:ETH","Switzerland:CHE",857616,212400,"ETH","CHE","Coffee",2015
"50",1881,1881,"Ethiopia:ETH","United Arab Emirates:ARE",2724227,758600,"ETH","ARE","Coffee",2015
"51",1882,1882,"Ethiopia:ETH","Turkey:TUR",441183,115220,"ETH","TUR","Coffee",2015
"52",1883,1883,"Ethiopia:ETH","Ukraine:UKR",460972,153600,"ETH","UKR","Coffee",2015
"53",1884,1884,"Ethiopia:ETH","Egypt:EGY",1616365,460800,"ETH","EGY","Coffee",2015
"54",1885,1885,"Ethiopia:ETH","United Kingdom:GBR",40164897,6892220,"ETH","GBR","Coffee",2015
"55",1886,1886,"Ethiopia:ETH","USA:USA",150643310,24633325,"ETH","USA","Coffee",2015
