country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Costa Rica:CRI,0.09523809523809523,0.0,0.07142857142857142,0.0,3.212606224910067,61621,
United Kingdom:GBR,0.09523809523809523,0.0,0.07142857142857142,0.0,22.908206923376117,58897,
Algeria:DZA,0.09523809523809523,0.0,0.07142857142857142,0.0,0.3521669515178292,481895163,
Brazil:BRA,0.09523809523809523,0.0,0.07142857142857142,0.0,3.333287971091705,1151211,
Nicaragua:NIC,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,3.414197953803811,588000,
Denmark:DNK,0.07142857142857142,1.0,0.07142857142857142,0.07142857142857144,5.2413643670329515,155686,2947.0
Iceland:ISL,0.09523809523809523,0.0,0.07142857142857142,0.0,16.5561797752809,2947,485944413.0
Germany:DEU,0.09523809523809523,0.0,0.07142857142857142,0.0,3.646587270429171,946062,
Belgium:BEL,0.09523809523809523,0.0,0.07142857142857142,0.0,2.814069107785518,109608,
Indonesia:IDN,0.09523809523809523,0.0,0.07142857142857142,0.0,3.75,67500,
Colombia:COL,0.09523809523809523,0.0,0.07142857142857142,0.0,4.481160279374243,347747,
Italy:ITA,0.09523809523809523,0.0,0.07142857142857142,0.0,10.787775891341257,12708,
Peru:PER,0.09523809523809523,0.0,0.07142857142857142,0.0,3.615546772068511,68605,
Netherlands:NLD,0.09523809523809523,0.0,0.07142857142857142,0.0,12.920939942190344,241389,
Guatemala:GTM,0.09523809523809523,0.0,0.07142857142857142,0.0,3.213505993150685,240216,
