"","X.1","X","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"1",2888,2888,"Iceland:ISL","Denmark:DNK",2947,178,"ISL","DNK","Coffee",2010
"2",143,143,"Austria:AUT","Iceland:ISL",386,70,"AUT","ISL","Coffee",2015
"3",258,258,"Belgium:BEL","Iceland:ISL",30599,6621,"BEL","ISL","Coffee",2015
"4",322,322,"Belgium:BEL","Iceland:ISL",78528,22214,"BEL","ISL","Coffee",2010
"5",519,519,"Brazil:BRA","Iceland:ISL",542249,169305,"BRA","ISL","Coffee",2015
"6",604,604,"Brazil:BRA","Iceland:ISL",1151211,345368,"BRA","ISL","Coffee",2010
"7",682,682,"Brazil:BRA","Iceland:ISL",318385,153600,"BRA","ISL","Coffee",2005
"8",1133,1133,"Colombia:COL","Iceland:ISL",543753,135705,"COL","ISL","Coffee",2015
"9",1211,1211,"Colombia:COL","Iceland:ISL",347747,77602,"COL","ISL","Coffee",2010
"10",1270,1270,"Colombia:COL","Iceland:ISL",660174,297123,"COL","ISL","Coffee",2005
"11",1380,1380,"Costa Rica:CRI","Iceland:ISL",61621,19181,"CRI","ISL","Coffee",2010
"12",1418,1418,"Costa Rica:CRI","Iceland:ISL",125796,38362,"CRI","ISL","Coffee",2005
"13",1566,1566,"Denmark:DNK","Iceland:ISL",2040402,321264,"DNK","ISL","Coffee",2015
"14",1578,1578,"Denmark:DNK","Iceland:ISL",1234,19,"DNK","ISL","Coffee",2015
"15",1585,1585,"Denmark:DNK","Iceland:ISL",53434,6392,"DNK","ISL","Coffee",2010
"16",1601,1601,"Denmark:DNK","Iceland:ISL",7695,350,"DNK","ISL","Coffee",2005
"17",1605,1605,"Denmark:DNK","Iceland:ISL",66,8,"DNK","ISL","Coffee",2005
"18",2027,2027,"France:FRA","Iceland:ISL",13741,800,"FRA","ISL","Coffee",2015
"19",2246,2246,"Germany:DEU","Iceland:ISL",1163941,249718,"DEU","ISL","Coffee",2015
"20",2311,2311,"Germany:DEU","Iceland:ISL",3409,720,"DEU","ISL","Coffee",2015
"21",2362,2362,"Germany:DEU","Iceland:ISL",930162,221900,"DEU","ISL","Coffee",2010
"22",2406,2406,"Germany:DEU","Iceland:ISL",1325,300,"DEU","ISL","Coffee",2010
"23",2452,2452,"Germany:DEU","Iceland:ISL",151000,46900,"DEU","ISL","Coffee",2005
"24",2504,2504,"Germany:DEU","Iceland:ISL",9000,2700,"DEU","ISL","Coffee",2005
"25",2633,2633,"Guatemala:GTM","Iceland:ISL",122850,19082,"GTM","ISL","Coffee",2015
"26",2681,2681,"Guatemala:GTM","Iceland:ISL",240216,74752,"GTM","ISL","Coffee",2010
"27",2727,2727,"Guatemala:GTM","Iceland:ISL",93947,38230,"GTM","ISL","Coffee",2005
"28",2850,2850,"Honduras:HND","Iceland:ISL",104815,38213,"HND","ISL","Coffee",2005
"29",3130,3130,"Indonesia:IDN","Iceland:ISL",77625,15000,"IDN","ISL","Coffee",2015
"30",3198,3198,"Indonesia:IDN","Iceland:ISL",67500,18000,"IDN","ISL","Coffee",2010
"31",3263,3263,"Indonesia:IDN","Iceland:ISL",44558,18000,"IDN","ISL","Coffee",2005
"32",3396,3396,"Italy:ITA","Iceland:ISL",61111,10046,"ITA","ISL","Coffee",2015
"33",3603,3603,"Italy:ITA","Iceland:ISL",12708,1178,"ITA","ISL","Coffee",2010
"34",3672,3672,"Italy:ITA","Iceland:ISL",262675,76520,"ITA","ISL","Coffee",2005
"35",3732,3732,"Italy:ITA","Iceland:ISL",8139,1338,"ITA","ISL","Coffee",2005
"36",3936,3936,"Kenya:KEN","Iceland:ISL",80572,38400,"KEN","ISL","Coffee",2005
"37",4538,4538,"Netherlands:NLD","Iceland:ISL",106850,16406,"NLD","ISL","Coffee",2015
"38",4635,4635,"Netherlands:NLD","Iceland:ISL",9284,820,"NLD","ISL","Coffee",2010
"39",4658,4658,"Netherlands:NLD","Iceland:ISL",232105,17862,"NLD","ISL","Coffee",2010
"40",4688,4688,"Netherlands:NLD","Iceland:ISL",150484,27525,"NLD","ISL","Coffee",2005
